"Region","Decade","MeanTemp","MeanMovingAvg"
"Africa",1940,-0.971004180727273,-1.01679142897491
"Africa",1950,-1.08823725252,-1.10690361792667
"Africa",1960,-0.851074656685091,-0.933073227155927
"Africa",1970,-0.82527181697,-0.829644268400618
"Africa",1980,-0.465181697476364,-0.642126279232891
"Africa",1990,-0.287972475048727,-0.372666285139727
"Africa",2000,-0.054323964962,-0.162375663702236
"Africa",2010,0.278792943170855,0.123406042162302
"Africa",2020,0.574603823838182,0.374548033377178
"Antarctica",1940,-0.525523283,-0.698473096104
"Antarctica",1950,-0.72969915014,-0.706139592176
"Antarctica",1960,-0.56363732258,-0.63833265568
"Antarctica",1970,-0.476198218592,-0.4766019973572
"Antarctica",1980,-0.00721780654,-0.2261744507548
"Antarctica",1990,-0.11670670433,-0.058476173518
"Antarctica",2000,-0.040461045002,-0.1025477370564
"Antarctica",2010,0.131426594068,0.0318696429884
"Antarctica",2020,0.4360910782,0.232040261312
"Asia",1940,-1.479943486,-1.0636047987866
"Asia",1950,-1.0356141674,-1.07834041329828
"Asia",1960,-0.910849362724,-0.9194888734054
"Asia",1970,-0.895770849654,-0.9749089904072
"Asia",1980,-0.7105657436278,-0.77533080349636
"Asia",1990,-0.408269392629,-0.59037534571304
"Asia",2000,-0.001752600165,-0.13583394709394
"Asia",2010,0.331528716079,0.15238963656536
"Asia",2020,0.744724311006,0.47601751619544
"Europe",1940,-0.618375696386364,-1.30321125331136
"Europe",1950,-1.02776142941705,-0.972516633576136
"Europe",1960,-1.15183647761909,-1.08960325650945
"Europe",1970,-1.04181501291409,-1.09751212101886
"Europe",1980,-0.959682368901818,-1.07943634929545
"Europe",1990,-0.474682783186818,-0.640458510654682
"Europe",2000,0.0434452551917727,-0.206946156392955
"Europe",2010,0.340260453356393,0.126919128818499
"Europe",2020,0.898223402154545,0.598786435017893
"North America",1940,-0.949319525185185,-0.872053219159259
"North America",1950,-0.767906259185185,-0.848608758044074
"North America",1960,-0.709508237701037,-0.719216218804481
"North America",1970,-0.707098266903704,-0.708518286745074
"North America",1980,-0.493967887777778,-0.574414076329259
"North America",1990,-0.286353478088148,-0.406889280245333
"North America",2000,-0.0615964894618519,-0.163489287035111
"North America",2010,0.264480782166148,0.114931656887896
"North America",2020,0.602865146451852,0.36988968881037
"Oceania",1940,-0.583668661875,-0.65095456006875
"Oceania",1950,-0.4430331857625,-0.540629984150625
"Oceania",1960,-0.48626820442125,-0.460436159474
"Oceania",1970,-0.4120213947825,-0.433415223946375
"Oceania",1980,-0.236952772035625,-0.332383302050813
"Oceania",1990,-0.1630921470275,-0.198329230814313
"Oceania",2000,-0.03545785237,-0.0958391601838125
"Oceania",2010,0.161695484539375,0.0439304574151875
"Oceania",2020,0.35175932154375,0.252199317592
"Other",1940,-0.4708201,-0.512904438
"Other",1950,-0.470519225,-0.4953632059
"Other",1960,-0.433810001,-0.4424274424
"Other",1970,-0.364377939,-0.4163844989
"Other",1980,-0.1923618771,-0.25725378329
"Other",1990,-0.1445749595,-0.17682910856
"Other",2000,-0.0508792234,-0.07903230605
"Other",2010,0.1554937684,0.05587976648
"Other",2020,0.300428748,0.18864223884
"South America",1940,-1.09710731285714,-0.818571677785714
"South America",1950,-0.823616363082143,-0.859799020866429
"South America",1960,-0.497431932172143,-0.634689517347643
"South America",1970,-0.622550369706857,-0.575687513923729
"South America",1980,-0.384253285537857,-0.461535229618271
"South America",1990,-0.23952664729,-0.3335140957385
"South America",2000,-0.0777533908895,-0.164802174901793
"South America",2010,0.232911685463571,0.101973634079864
"South America",2020,0.470496226251429,0.316970750646571
"World",1940,-0.6554753,-0.663857354
"World",1950,-0.673023597,-0.6760052583
"World",1960,-0.627481866,-0.6347780432
"World",1970,-0.625376859,-0.6386662256
"World",1980,-0.361799591,-0.4713115653
"World",1990,-0.2291164415,-0.2997388356
"World",2000,-0.0307286898,-0.1246387872
"World",2010,0.2033851864,0.07761085076
"World",2020,0.46539419,0.30562228408
