"Year","Month","Country","Ah1n12009","Ah1","Ah3","Ah5","Ah7n9","A_no_subtype","Bvic","Byam","Bnotdetermined","Influenza_A","Influenza_B"
2022,"October","Northern Hemisphere",4151,0,16439,0,1,48930,1118,0,3111,69521,4229
2022,"October","Southern Hemisphere",185,0,770,0,0,968,101,0,393,1923,494
2022,"September","Northern Hemisphere",977,0,6112,0,2,4773,481,0,787,11864,1268
2022,"September","Southern Hemisphere",122,0,684,0,0,454,233,0,99,1260,332
2023,"April","Northern Hemisphere",22668,0,10474,0,0,4140,1429,0,10553,37282,11982
2023,"April","Southern Hemisphere",1050,0,228,0,0,416,213,0,1134,1694,1347
2023,"August","Northern Hemisphere",2966,0,5115,0,0,1815,986,0,1144,9896,2130
2023,"August","Southern Hemisphere",348,0,151,0,0,544,80,0,1046,1043,1126
2023,"December","Northern Hemisphere",26495,0,63055,0,0,132862,15309,0,17918,222412,33227
2023,"December","Southern Hemisphere",233,0,562,0,0,304,35,0,119,1099,154
2023,"February","Northern Hemisphere",24618,0,10418,2,0,25780,2956,0,27708,60818,30664
2023,"February","Southern Hemisphere",256,0,88,0,0,154,126,0,177,498,303
2023,"January","Northern Hemisphere",12844,0,11836,0,0,73209,2416,0,19635,97889,22051
2023,"January","Southern Hemisphere",443,0,91,4,0,223,23,0,252,761,275
2023,"July","Northern Hemisphere",3023,0,3873,0,0,2136,910,0,1318,9032,2228
2023,"July","Southern Hemisphere",1743,0,296,0,0,2423,76,0,2086,4462,2162
2023,"June","Northern Hemisphere",2274,0,1279,0,0,1700,512,0,1588,5253,2100
2023,"June","Southern Hemisphere",3166,0,432,0,0,2614,48,0,2230,6212,2278
2023,"March","Northern Hemisphere",43214,0,19112,0,0,11674,3003,0,23144,74000,26147
2023,"March","Southern Hemisphere",360,0,131,0,0,278,245,0,383,769,628
2023,"May","Northern Hemisphere",5776,0,3439,0,0,2699,930,0,5824,11914,6754
2023,"May","Southern Hemisphere",4675,0,734,0,0,1502,103,0,3861,6911,3964
2023,"November","Northern Hemisphere",13985,0,49383,3,0,30705,7286,0,6899,94076,14185
2023,"November","Southern Hemisphere",233,0,654,0,0,468,55,0,210,1355,265
2023,"October","Northern Hemisphere",9570,0,19562,1,0,10320,3444,0,3114,39453,6558
2023,"October","Southern Hemisphere",264,0,316,0,0,661,53,0,411,1241,464
2023,"September","Northern Hemisphere",4123,0,8962,0,0,3233,1345,0,1500,16318,2845
2023,"September","Southern Hemisphere",247,0,158,0,0,630,90,0,621,1035,711
2024,"April","Northern Hemisphere",11727,0,5048,0,0,17121,5482,0,21424,33896,26906
2024,"April","Southern Hemisphere",1921,0,3958,0,0,1666,93,0,136,7545,229
2024,"August","Northern Hemisphere",5670,0,2756,2,0,3095,601,0,922,11523,1523
2024,"August","Southern Hemisphere",354,0,1025,0,0,1146,221,0,132,2525,353
2024,"December","Northern Hemisphere",61412,0,12250,9,0,164353,2098,0,18380,238024,20478
2024,"December","Southern Hemisphere",737,0,361,0,0,266,98,0,1047,1364,1145
2024,"February","Northern Hemisphere",14109,0,15662,3,0,106920,22622,0,40101,136694,62723
2024,"February","Southern Hemisphere",841,0,1580,0,0,559,50,0,85,2980,135
2024,"January","Northern Hemisphere",29071,0,42901,3,0,188710,33575,0,29772,260685,63347
2024,"January","Southern Hemisphere",424,0,1103,0,0,366,41,0,99,1893,140
2024,"July","Northern Hemisphere",11161,0,4310,13,0,4614,620,0,1575,20098,2195
2024,"July","Southern Hemisphere",1379,0,1848,0,0,3948,301,0,273,7175,574
2024,"June","Northern Hemisphere",8798,0,3803,0,0,4613,685,0,2242,17214,2927
2024,"June","Southern Hemisphere",1149,0,1871,0,0,4799,133,0,240,7819,373
2024,"March","Northern Hemisphere",9341,0,8254,0,0,41958,15322,0,34428,59553,49750
2024,"March","Southern Hemisphere",1549,0,2395,0,0,724,52,0,112,4668,164
2024,"May","Northern Hemisphere",10886,0,3620,1,0,5414,1283,0,6141,19921,7424
2024,"May","Southern Hemisphere",1747,0,2998,0,0,2606,116,0,193,7351,309
2024,"November","Northern Hemisphere",12684,0,3553,22,0,19405,1087,0,3912,35664,4999
2024,"November","Southern Hemisphere",651,0,460,0,0,124,80,0,1660,1235,1740
2024,"October","Northern Hemisphere",6675,0,1982,43,0,7253,999,0,2302,15953,3301
2024,"October","Southern Hemisphere",648,0,375,0,0,108,102,0,1753,1131,1855
2024,"September","Northern Hemisphere",6430,0,2498,4,0,4503,718,0,1508,13435,2226
2024,"September","Southern Hemisphere",391,0,805,0,0,443,169,0,447,1639,616
2025,"February","Northern Hemisphere",47985,0,14674,1,0,103356,5319,0,49992,166016,55311
2025,"February","Southern Hemisphere",970,0,202,0,0,408,94,0,450,1580,544
2025,"January","Northern Hemisphere",63175,0,12507,0,0,108165,4180,0,33469,183847,37649
2025,"January","Southern Hemisphere",996,0,229,0,0,347,154,0,722,1572,876
